benchmark,task,model,valid_rollouts,M25,M50,M75,SR,MP,PPL,CRA,STR,DRR,FNS,SQS
RoboDojo-Sim,classify_objects,X-WAM,6,1,1,0.8333333333333334,0.8333333333333334,1,0.5727490161118286,0.020799749827467212,0.2391304347826087,1,0.4697999999999999,0.759504596562453
RoboDojo-Sim,classify_objects,Spatial Forcing,6,1,1,1,0.5,0.9726999999999999,0.5491910959914821,0.029819021739130418,0.3260869565217391,1,0.9218,0.7037744820473321
RoboDojo-Sim,classify_objects,Fast-WAM,6,1,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.8639999999999999,0.4767122763429059,0.017840600386692523,0.34239130434782605,1,0.5612999999999999,0.7511861004550315
RoboDojo-Sim,classify_objects,GigaWorld-Policy-0,6,1,1,1,0.3333333333333333,0.9969571428571427,0.5220223133367123,0.019745539623123393,0.2826086956521739,1,0.9456785714285714,0.7570696769755669
RoboDojo-Sim,classify_objects,X-VLA,6,0.8333333333333334,0.6666666666666666,0.5,0.3333333333333333,0.7352999999999998,0.3391976047370066,0.03427843514104898,0.22282608695652176,1,0.36039999999999994,0.7970715914404649
RoboDojo-Sim,classify_objects,Xiaomi-Robotics-0,6,0.8333333333333334,0.5,0.3333333333333333,0.16666666666666666,0.5543111111111111,0.3310174345026743,0.04511280739287611,0.2608695652173913,1,0.2061111111111111,0.7630258555092352
RoboDojo-Sim,classify_objects,AHA-WAM,6,0.5,0.5,0.16666666666666666,0,0.3439,0.10639270809097827,0.19198509354050747,0.2663043478260869,0.9615916863772016,0.27194999999999997,0
RoboDojo-Sim,classify_objects,GalaxeaVLA (G0),6,1,0.8333333333333334,0.16666666666666666,0,0.5945571428571428,0.2343073897982099,0.05965120493696528,0.2173913043478261,1,0.4972785714285714,0
RoboDojo-Sim,classify_objects,GROOT-N1.7,6,0.8333333333333334,0.16666666666666666,0,0,0.3137,0.07544035650378865,0.2922420103105649,0.36413043478260865,0.8150938953140012,0.15685,0
RoboDojo-Sim,classify_objects,InternVLA-A1,6,0.6666666666666666,0.5,0,0,0.45544999999999997,0.12302618082936409,0.13449223149261305,0.27717391304347827,0.6740808758352301,0.327725,0
RoboDojo-Sim,classify_objects,LDA-1B,6,0.6666666666666666,0.16666666666666666,0,0,0.34824999999999995,0.11416676400479064,0.11761821241886394,0.375,0.5717537134358607,0.17412499999999997,0
RoboDojo-Sim,classify_objects,Pi-0,6,0.8333333333333334,0,0,0,0.3640142857142856,0.0803754144413624,0.16300917755449534,0.2173913043478261,0.7529664937490421,0.18200714285714287,0
RoboDojo-Sim,classify_objects,Pi-05,6,1,1,0.8333333333333334,0,0.8645999999999998,0.4898859232624333,0.027345816959602795,0.21073646850044364,1,0.9322999999999999,0
RoboDojo-Sim,classify_objects,Spirit v1.5,6,0,0,0,0,0.14689999999999998,0.018105069815408777,0.38517502749926275,0.33152173913043476,0.6603872073849468,0.07344999999999999,0
RoboDojo-Sim,classify_objects,StarVLA,6,1,0.3333333333333333,0,0,0.4208,0.1219134661872992,0.1202675260670466,0.42391304347826086,0.8742803154669334,0.2104,0
RoboDojo-Sim,classify_objects_by_language,AHA-WAM,6,0.6666666666666666,0.16666666666666666,0,0,0.2848,0.11642342607346595,0.06283526400112614,0.5597826086956522,1,0.1424,0
RoboDojo-Sim,classify_objects_by_language,Fast-WAM,6,0.16666666666666666,0,0,0,0.0592,0.01888860788758613,0.23993678308323146,0.8206521739130435,0.41962382700194956,0.0296,0
RoboDojo-Sim,classify_objects_by_language,GalaxeaVLA (G0),6,0.8333333333333334,0.16666666666666666,0,0,0.28717777777777775,0.049923543931789355,0.192211303808572,0.29891304347826086,0.7975621493490055,0.14358888888888888,0
RoboDojo-Sim,classify_objects_by_language,GigaWorld-Policy-0,6,0.6666666666666666,0.16666666666666666,0,0,0.2804142857142857,0.06332392411745336,0.254867899754983,0.375,0.8073309935005808,0.14020714285714286,0
RoboDojo-Sim,classify_objects_by_language,GROOT-N1.7,6,0.5,0.16666666666666666,0,0,0.19590000000000002,0.03881870510790797,0.06849764043196377,0.6576086956521738,0.7682529750524328,0.09795,0
RoboDojo-Sim,classify_objects_by_language,Hy-Embodied-0.5-VLA,6,0.3333333333333333,0,0,0,0.21084999999999998,0.03895359594364542,0.3172742081558877,0.5380434782608696,0.8247206809570393,0.10542499999999999,0
RoboDojo-Sim,classify_objects_by_language,InternVLA-A1,6,0.16666666666666666,0,0,0,0.09269999999999999,0.021530190347190878,0.25994473378139166,0.7391304347826086,0.02563773759553769,0.04634999999999999,0
RoboDojo-Sim,classify_objects_by_language,LDA-1B,6,0,0,0,0,0.09204999999999998,0.014877681642986605,0.3436437689369965,0.6521739130434783,0.4847274076985221,0.04602499999999999,0
RoboDojo-Sim,classify_objects_by_language,Pi-0,6,0.16666666666666666,0,0,0,0.138,0.03355190254038384,0.28206593568693,0.6956521739130435,0.4577847015742462,0.06899999999999999,0
RoboDojo-Sim,classify_objects_by_language,Pi-05,6,0.5,0,0,0,0.26675714285714286,0.04821525694091218,0.060100868557927574,0.47282608695652173,1,0.1333785714285714,0
RoboDojo-Sim,classify_objects_by_language,Spatial Forcing,6,0.5,0,0,0,0.23935714285714288,0.05331764421982635,0.16070266166509256,0.3695652173913043,1,0.11967857142857141,0
RoboDojo-Sim,classify_objects_by_language,Spirit v1.5,6,0.16666666666666666,0,0,0,0.06533333333333333,0.012762473456962877,0.3166315068913575,0.7228260869565217,0.8285745505576994,0.03266666666666666,0
